Sexe;Prenom;annee;Nombre
M;AADIL;2003;3
M;AARON;2003;136
M;AARONE;2003;4
M;ABASS;2003;3
M;ABBAS;2003;5
M;ABBES;2003;3
M;ABD;2003;11
M;ABD-ALLAH;2003;7
M;ABDALLAH;2003;103
M;ABDEL;2003;67
M;ABDEL-AZIZ;2003;5
M;ABDEL-DJALIL;2003;3
M;ABDEL-HAFID;2003;4
M;ABDEL-HAKIM;2003;12
M;ABDEL-HALIM;2003;3
M;ABDEL-HAMID;2003;4
M;ABDEL-ILAH;2003;5
M;ABDEL-JALIL;2003;4
M;ABDEL-KADER;2003;13
M;ABDEL-KARIM;2003;15
M;ABDEL-MADJID;2003;4
M;ABDEL-MALEK;2003;12
M;ABDEL-MALIK;2003;12
M;ABDEL-NOUR;2003;3
M;ABDEL-RAHIM;2003;5
M;ABDEL-RAHMAN;2003;3
M;ABDEL-SAMAD;2003;3
M;ABDEL-WAHAB;2003;3
M;ABDELAH;2003;5
M;ABDELALI;2003;7
M;ABDELATIF;2003;4
M;ABDELAZIZ;2003;22
M;ABDELDJALIL;2003;3
M;ABDELGHANI;2003;3
M;ABDELHAFID;2003;7
M;ABDELHAK;2003;7
M;ABDELHAKIM;2003;37
M;ABDELHALIM;2003;6
M;ABDELHAMID;2003;9
M;ABDELILAH;2003;8
M;ABDELKADER;2003;106
M;ABDELKARIM;2003;29
M;ABDELKRIM;2003;8
M;ABDELLAH;2003;60
M;ABDELLATIF;2003;3
M;ABDELMADJID;2003;3
M;ABDELMAJID;2003;12
M;ABDELMALEK;2003;10
M;ABDELMALIK;2003;16
M;ABDELNACER;2003;3
M;ABDELNOUR;2003;9
M;ABDELRAHIM;2003;6
M;ABDELRAHMAN;2003;8
M;ABDELRAHMANE;2003;11
M;ABDELRANI;2003;4
M;ABDELSAMAD;2003;5
M;ABDELWAHAB;2003;5
M;ABDELWAKIL;2003;3
M;ABDENNOUR;2003;4
M;ABDENOUR;2003;5
M;ABDERAHIM;2003;5
M;ABDERAHMAN;2003;9
M;ABDERAHMANE;2003;14
M;ABDERAHMENE;2003;5
M;ABDERAOUF;2003;3
M;ABDERHAMANE;2003;4
M;ABDERRAHIM;2003;4
M;ABDERRAHMAN;2003;21
M;ABDERRAHMANE;2003;34
M;ABDERRAHMEN;2003;4
M;ABDESAMAD;2003;6
M;ABDESSAMAD;2003;22
M;ABDILLAH;2003;6
M;ABDOU;2003;15
M;ABDOUL;2003;22
M;ABDOUL-AZIZ;2003;4
M;ABDOUL-KARIM;2003;5
M;ABDOULAYE;2003;80
M;ABDOULLAH;2003;10
M;ABDOURAHMANE;2003;9
M;ABDRAMANE;2003;5
M;ABDSAMAD;2003;4
M;ABDUL;2003;5
