Prenom;Nombre
AADIL;3
AALIYA;7
AALIYAH;142
AALYA;11
AALYAH;16
AARON;471
AARONE;4
AAYA;3
ABASS;7
ABBAS;5
ABBES;7
ABBY;13
ABBY-GAELLE;8
ABBYGAELLE;22
ABD;27
ABD-ALLAH;14
ABD-EL-RAHMAN;3
ABDALAH;5
ABDALAYE;3
ABDALLAH;210
ABDEL;125
ABDEL-AZIZ;12
ABDEL-DJALIL;6
ABDEL-GHANI;4
ABDEL-HAFID;4
ABDEL-HAKIM;20
ABDEL-HALIM;3
ABDEL-HAMID;11
ABDEL-ILAH;5
ABDEL-JALIL;7
ABDEL-KADER;23
ABDEL-KARIM;33
ABDEL-MADJID;7
ABDEL-MALEK;19
ABDEL-MALIK;29
ABDEL-NOUR;3
ABDEL-RAHIM;5
ABDEL-RAHMAN;3
ABDEL-RAHMANE;8
ABDEL-SAMAD;9
ABDEL-WAHAB;3
ABDEL-WAHEB;3
ABDELAH;11
ABDELALI;12
ABDELATIF;4
ABDELAZIZ;55
ABDELDJALIL;9
ABDELGHANI;14
ABDELHAFID;7
ABDELHAK;14
ABDELHAKIM;55
ABDELHALIM;14
ABDELHAMID;22
ABDELHAQ;3
ABDELILAH;16
ABDELJALIL;14
ABDELKADER;199
ABDELKARIM;55
ABDELKRIM;13
ABDELLAH;105
ABDELLATIF;6
ABDELMADJID;6
ABDELMAJID;23
ABDELMALEK;27
ABDELMALIK;32
ABDELMOUNAIM;3
ABDELNACER;3
ABDELNOUR;21
ABDELRAHIM;16
ABDELRAHMAN;22
ABDELRAHMANE;28
ABDELRAHMEN;4
ABDELRANI;9
ABDELRAZAK;3
ABDELSALEM;3
ABDELSAMAD;12
ABDELWAHAB;5
ABDELWAKIL;3
ABDENNOUR;11
ABDENOUR;17
ABDERAHIM;11
ABDERAHMAN;15
ABDERAHMANE;26
ABDERAHMENE;5
ABDERAMAN;3
ABDERAOUF;3
ABDERHAMANE;4
ABDERRAHIM;12
ABDERRAHMAN;35
ABDERRAHMANE;65
ABDERRAHMEN;12
ABDESAMAD;6
ABDESLAM;6
ABDESSALAM;4
ABDESSAMAD;35
ABDILLAH;6
ABDOU;37
ABDOUL;49
ABDOUL-AZIZ;7
ABDOUL-KADER;3
ABDOUL-KARIM;11
ABDOULAY;3
ABDOULAYE;166
ABDOULHAKIM;3
ABDOULKARIM;4
ABDOULLAH;24
ABDOURAHIM;4
ABDOURAHMAN;5
ABDOURAHMANE;17
ABDRAHMAN;3
ABDRAMANE;11
ABDSAMAD;4
ABDUL;14
ABDUL-RAHMAN;3
ABDULKADIR;12
ABDULLAH;70
ABDULRAHMAN;3
ABDULSAMED;3
ABDURRAHMAN;15
ABED;13
ABEL;270
ABELIA;3
ABELINA;3
ABELINE;7
ABELLE;3
ABIGAEL;115
ABIGAELLE;101
ABIGAIL;103
ABILIO;6
ABINASH;7
ABINAYA;17
ABIR;26
ABIRA;3
ABIRE;3
ABISHA;10
ABISHAN;3
ABLAYE;4
ABOU;36
ABOU-BAKER;3
ABOU-BAKR;11
ABOUBACAR;78
ABOUBAKAR;51
ABOUBAKARI;7
ABOUBAKARY;6
ABOUBAKER;7
ABOUBAKR;6
ABOULAYE;11
ABRAHAM;78
ABSA;6
ABY;23
ABYGAEL;22
ABYGAELLE;52
ABYGAIL;4
ACACIA;8
ACELIA;5
ACELYA;50
ACHER;3
ACHILE;12
ACHILLE;373
ACHOUR;5
ACHRAF;112
ACHRAFE;4
ACHREF;4
ACIA;3
ACIL;4
ADA;13
ADALBERT;3
ADAM;2879
ADAMA;183
ADAME;116
ADAMM;3
ADAMS;8
ADAN;53
ADASSA;3
ADDA;3
ADEL;479
ADELA;21
ADELAIDE;229
ADELIA;31
ADELIE;171
ADELIN;18
ADELINA;29
ADELINE;602
ADELIO;3
ADELISE;4
ADELLE;4
ADELYA;3
ADELYNE;12
ADEM;347
ADEME;9
ADEN;10
ADENORA;7
ADHAM;16
ADIB;17
ADIL;257
ADILA;5
ADILE;8
ADILSON;4
ADIM;3
ADINA;12
ADIS;3
ADJA;23
ADJI;4
ADJIA;3
ADLAN;11
ADLANE;17
ADLEN;12
ADLENE;13
ADLINE;4
ADNA;3
ADNAN;43
ADNANE;44
ADOLPHE;3
ADONAI;9
ADONIS;75
ADRIA;7
ADRIAN;265
ADRIANA;194
ADRIANE;13
ADRIANNA;21
ADRIANO;70
ADRIEL;19
ADRIEN;4755
ADRIENNE;17
ADRYAN;10
ADRYEN;12
ADYL;8
ADÈLE;1425
AEDAN;3
AEL;56
AELA;62
AELAIG;3
AELIA;55
AELIG;29
AELINE;4
AELIS;13
AELLA;9
AELLE;17
AELYS;5
AENAELLE;4
AENOR;25
AENORA;3
AERIS;8
AERYN;11
AESA;15
AFAF;3
AFFOU;3
AFFOUE;3
AFIF;7
AFNANE;3
AFTONE;3
AGASH;8
AGATA;8
AGATE;23
AGATHA;25
AGATHE;2784
AGHILAS;11
AGHILES;12
AGLAE;123
AGLAEE;8
AGNÈS;217
AGOSTINO;3
AHAMADA;3
AHARON;15
AHCEN;3
AHCENE;14
AHLAM;50
AHLAME;9
AHLEM;43
AHMAD;37
AHMADOU;12
AHMAT;3
AHMED;605
AHMED-AMINE;11
AHMED-YACINE;3
AHMED-YASSINE;11
AHMET;162
AHMET-CAN;3
AICHA;347
AICHATA;9
AICHATOU;5
AICHE;8
AICHETOU;3
AIDA;96
AIDAN;60
AIDEN;13
AIKO;6
AILA;3
AILEEN;12
AILYNE;3
AIMA;10
AIMAD;15
AIMAN;40
AIMANE;36
AIME;71
AIMELINE;11
AIMELYNE;4
AIMEN;91
AIMENE;11
AIMERIC;43
AIMERICK;7
AIMERY;10
AIMIE;84
AIMY;72
AIMÉE;62
AINA;44
AINARA;15
AINES;10
AINHOA;94
AINOA;20
AINOHA;9
AINSLEY;7
AIRON;4
AISATOU;4
AISHA;21
AISLING;3
AISSA;144
AISSAM;28
AISSATA;129
AISSATOU;115
AISSE;33
AISSETA;7
AISSETOU;15
AISSIA;3
AITA;3
AITANA;14
AITOR;4
AIYA;28
AIYANA;10
AIYOUB;4
AJAR;7
AJLA;7
AKASH;16
AKEMI;4
AKIF;7
AKIL;13
AKILA;15
AKIM;69
AKIN;17
AKIRA;3
AKISSI;3
AKIVA;4
AKLI;12
AKRAM;111
AKRAME;7
AKSEL;73
AKSHAYA;10
AKSHAYAN;3
AKSIL;8
AL;17
ALA;12
ALAA;19
ALAA-EDDINE;3
ALADIN;16
ALADJI;4
ALAEDDINE;9
ALAEDINE;3
ALAIA;22
ALAIN;165
ALAINA;8
ALAIS;101
ALAN;1518
ALANA;108
ALANE;24
ALANIS;30
ALANN;58
ALANNA;10
ALANNAH;3
ALARIC;36
ALASSAN;4
ALASSANE;60
ALAYA;5
ALBA;49
